Question,Answer,Option A,Option B,Option C,Option D,Option E
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",B,(1/3),(1/8),(2/8),(1/16)
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",B,7,10,12,13
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",B,20,22,23,26
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",C,22,24,25,26
"Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?",B,12,14,27,53
"Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?",B,14,15,21,23
"Look at this series: 58, 52, 46, 40, 34, ... What number should come next?",B,26,28,30,32
"Look at this series: 3, 4, 7, 8, 11, 12, ... What number should come next?",D,7,10,14,15
"Look at this series: 8, 22, 8, 28, 8, ... What number should come next?",D,9,29,32,34
"Look at this series: 31, 29, 24, 22, 17, ... What number should come next?",A,15,14,13,12
"Look at this series: 1.5, 2.3, 3.1, 3.9, ... What number should come next?",C,4.2,4.4,4.7,5.1
"Look at this series: 14, 28, 20, 40, 32, 64, ... What number should come next?",B,52,56,96,128
"Look at this series: 2, 4, 6, 8, 10, ... What number should come next?",B,11,12,13,14
"Look at this series: 201, 202, 204, 207, ... What number should come next?",D,205,208,210,211
"Look at this series: 544, 509, 474, 439, ... What number should come next?",A,404,414,420,445
"Look at this series: 80, 10, 70, 15, 60, ... What number should come next?",A,20,25,30,50
"Look at this series: 2, 6, 18, 54, ... What number should come next?",C,108,148,162,216
"Look at this series: 5.2, 4.8, 4.4, 4, ... What number should come next?",D,3,3.3,3.5,3.6
"Look at this series: 8, 6, 9, 23, 87 , ... What number should come next?",D,128,226,324,429
