Question,Option A,Option B,Option C,Option D,Answer
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),B
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",22,23,26,22,B
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",25,26,12,14,C
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),B
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",22,23,26,22,B
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",25,26,12,14,C
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),B
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",22,23,26,22,B
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",25,26,12,14,C
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),B
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",22,23,26,22,B
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",25,26,12,14,C
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),B
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",22,23,26,22,B
"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",25,26,12,14,C
28 25 5 21 18 5 14,11 5,10 7,11 8,A
8 11 21 15 18 21 22,10 5,25 18,25 21,25 29,B
9 16 23 30 37 44 51,22 26,59 66,56 62,58 66,D
2 8 14 20 26 32 38,54 61,2 46,44 50,42 48,B
9 11 33 13 15 33 17,32 26,19 33,33 35,33 19,A
28 25 5 21 18 5 14,11 5,10 7,11 8,A
8 11 21 15 18 21 22,10 5,25 18,25 21,25 29,B
9 16 23 30 37 44 51,22 26,59 66,56 62,58 66,D
2 8 14 20 26 32 38,54 61,2 46,44 50,42 48,B
